doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier,debate_short_review,id,custom_id,source_file,source_relpath,L1_label,L1_reasoning,L1_error,L2_labels,L2_reasoning,L2_error
_4b53590f421b,_4b53590f421b_u001,"〔記者楊丞彧/台北報導〕為與台灣深化經貿合作與促進雙邊投資,美國維吉尼亞州來台設立辦事處,今(19)日舉行開幕儀式。",context,,"維吉尼亞州商貿部長梅里克(Caren Merrick)致詞時表示,維州航太及國防產業相當著名,並發展以創意及高科技為導向的經濟,盼深化與台灣雙邊投資與貿易合作。",[],[],False,,309d63a3c927bef2e048067f875f4b5c,False,02_Ke_ltn_news,2023-09-19 19:19:20,"(記者王藝菘攝) 2023/09/19 19:19 〔記者楊丞彧/台北報導〕為與台灣深化經貿合作與促進雙邊投資,美國維吉尼亞州來台設立辦事處,今(19)日舉行開幕儀式。",True,institution_only,False,,False,KEEP,0.5244425535202026,,,False,REVIEW,01_news_datasets/02_Ke_ltn_news_units.csv,1,,4300,req_8593ada2b2c74b47956f890a4c072a1e,merged_deduped.csv,merged_deduped.csv,L1-01,主題為經貿合作與投資，排除施政管理,,L2-01|L2-07,美國州政府來台設立辦事處、深化經貿合作→以台灣為對等行為主體→L2-01；經貿合作願景→L2-07,
_188fd5a9860a,_188fd5a9860a_u011,"他並邀請華德動能到瓜地馬拉投資設廠,行銷整個拉丁美洲。",context,"賈麥岱肯定台灣政府及企業在創新與環境友善產業展現的前瞻跟遠見,深信瓜地馬拉與中華民國的友誼,在雙邊合作、穩固及永久邦交的關係,以及密切的經貿學術交流下,一定能碰撞出更創新及互惠互利的產業投資契機。","蔡英文總統和正訪台的瓜地馬拉總統賈麥岱昨一同出席台灣首間「瓜地馬拉咖啡形象館」開幕活動,並為將巡迴全台的瓜地馬拉咖啡胖卡車剪綵。",[],[],False,,fa730276a2e9dc3917e74608de3a698f,False,03_Lai_ltn_news,2023-04-27 05:30:00,"他並邀請華德動能到瓜地馬拉投資設廠,行銷整個拉丁美洲。",True,institution_only,False,,False,DROP,0.1767527163028717,DROP,-0.0593701004981994,False,REVIEW,01_news_datasets/03_Lai_ltn_news_units.csv,1,,22070,req_af4c15641f0e495eac25836dddafdbb5,merged_deduped.csv,merged_deduped.csv,L1-01,投資設廠與市場行銷屬經濟合作，非單純外交,,L2-01,雙邊投資設廠、行銷拉丁美洲→國家作為經貿主體→L2-01；無明顯動員語氣→不選L2-07,
_4b53590f421b,_4b53590f421b_u005,"他說,此份備忘錄說明台灣作為維州投資合作夥伴的重要性。",claim,"維吉尼亞州商貿部長梅里克(Caren Merrick)致詞時表示,維州航太及國防產業相當著名,並發展以創意及高科技為導向的經濟,盼深化與台灣雙邊投資與貿易合作。","而這不僅關乎晶片或半導體產業,也包含電動車、電池、健康照護,甚至珍珠奶茶等公司。",[],[],False,,282fe7120086fb208fcb4da473affc2b,False,02_Ke_ltn_news,2023-09-19 19:19:20,"他說,此份備忘錄說明台灣作為維州投資合作夥伴的重要性。",True,institution_only,False,,False,KEEP,0.4722868204116821,,,False,REVIEW,01_news_datasets/02_Ke_ltn_news_units.csv,1,,3587,req_e9f4140e1f8740faab52751a3b55cd28,merged_deduped.csv,merged_deduped.csv,L1-01,投資合作與產業合作屬經濟議題，非政策本身,,L2-01,台灣作為投資合作夥伴→預設主體地位→L2-01；無其他威脅/動員/價值等訊號,
_52a638378148,_52a638378148_u007,"「我們一起在這10幾年當中,為了東部的發展,通過花東發展條例10年400億元的經費來挹注東部。」 蕭美琴說:「我跟賴清德可以跟賴坤成一樣,我們可以從全台灣的視野來看台灣,不只是台北的角度來看台灣,我們甚至是可以從世界的視野來看台灣,就像賴坤成希望把台東變成南島的首都一樣,我們要有這個企圖,因為我們都是南島的子民、我們都有能力可以面對世界的歷史跟傳統、文化。」 蕭美琴指出,她在花蓮這些年結交很多原住民朋友,「過去每次參選立委,原住民朋友都說可惜不能投給你,因為我是區域的立法委員,可是這一次我所有的原住民朋友終於可以投票給我了。」也希望大家一起支持,讓台灣的未來更好。",claim,"蕭美琴說:「蔡英文主席派我到東部來經營,從那天開始我跟賴坤成就一起攜手在東部一起服務、一起開拓,事實上,14年前到花蓮參與立法委員補選時,賴坤成才剛當選台東區域立委,他剛當選沒幾天就揮軍北上幫我輔選,雖然我第一次沒有成功,但是我留下來繼續經營,賴坤成也幫了我很多。」 蕭美琴表示,自己跟民進黨總統候選人賴清德是3組候選人裡面,唯一在台北以外的地方參政過、經營過。","到場為黨籍候選人助講的行政院長陳建仁,則是提出蔡英文政府8年來的經濟、勞工、衛生、教育、交通等各項政策,以國際都在關注台灣這場大選的重要性,呼籲民眾若未來能享有自由民主法治、和平繁榮,一定要投給民進黨。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""蕭美琴"", ""party"": ""DPP""}]",[],False,,6667e0cf53edcfabeab16d0dd3f9449c,False,02_Ke_chinatimes_news,2024-01-07 17:25:00,"「我們一起在這10幾年當中,為了東部的發展,通過花東發展條例10年400億元的經費來挹注東部。」 蕭美琴說:「我跟賴清德可以跟賴坤成一樣,我們可以從全台灣的視野來看台灣,不只是台北的角度來看台灣,我們甚至是可以從世界的視野來看台灣,就像賴坤成希望把台東變成南島的首都一樣,我們要有這個企圖,因為我們都是南島的子民、我們都有能力可以面對世界的歷史跟傳統、文化。」 蕭美琴指出,她在花蓮這些年結交很多原住民朋友,「過去每次參選立委,原住民朋友都說可惜不能投給你,因為我是區域的立法委員,可是這一次我所有的原住民朋友終於可以投票給我了。」也希望大家一起支持,讓台灣的未來更好。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,8995,req_ae699a861026466c84ad929fbf77cc77,merged_deduped.csv,merged_deduped.csv,L1-01,問題定義=東部發展與投資→經濟，非單純政策機制,,L2-01|L2-04|L2-07,「從全台灣/世界視野看台灣」→L2-01；「把台東變成南島首都」「讓台灣的未來更好」→L2-07；「南島的子民、面對世界的歷史跟傳統、文化」→L2-04,
_f5c022628fef,_f5c022628fef_u004,"此外,台灣也希望能夠加入區域經濟組織,並已對跨太平洋夥伴全面進步協定(CPTPP)提出申請,若能透過美國協助順利加入,有助台灣與整個區域經濟發展。",context,"台灣非常希望經由RSC的協助,加強台美之間的經貿關係,賴清德指出,台美目前已完成台美21世紀貿易倡議第一階段簽署,盼能繼續完成後續完整的倡議,逐步簽訂雙邊貿易協定。","尤其台積電已經到美國投資,台灣將此視為重組產業鏈的一部分,台灣政府也會協助台積電的對外投資,賴清德請美國國會幫忙,讓台美能簽署避免雙重課稅協定。",[],[],False,,5d131b545e2fedfe37e9d69235ea249b,False,02_Ke_chinatimes_news,2023-07-04 13:26:00,"此外,台灣也希望能夠加入區域經濟組織,並已對跨太平洋夥伴全面進步協定(CPTPP)提出申請,若能透過美國協助順利加入,有助台灣與整個區域經濟發展。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.454359233379364,,,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,8180,req_4f42350fbd0b405b8b4940040a03ad60,merged_deduped.csv,merged_deduped.csv,L1-01,主題為區域經貿與產業發展，非施政程序,,L2-01|L2-03|L2-07,"加入區域經濟組織、申請CPTPP→L2-03；透過美國協助、助台灣與區域發展→主權行為與願景→L2-01,L2-07",
_d6a4cb220d0e,_d6a4cb220d0e_u008,"在經濟發展方面,賴清德期許台灣企業在經濟上能成為日不落國,立足台灣、布局全球,商品行銷到全世界。",context,"同時,只要兩岸交流能維持對等尊嚴,並兼顧兩岸人民福祉,我們對交流及合作的大門永遠是敞開的。","他提到,「台美廿一世紀貿易倡議」首批協定完成簽署,日前也在美國參、眾兩院通過,我行政院已送請立法院排入臨時會議程審議。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,4964310d022165654809ef99ef2b5882,False,03_Lai_ltn_news,2023-07-22 05:30:00,"在經濟發展方面,賴清德期許台灣企業在經濟上能成為日不落國,立足台灣、布局全球,商品行銷到全世界。",True,cooccur: actor×institution,True,gate: actor×inst,False,REVIEW,0.3689597845077514,,,True,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,6528,req_580ee0c74a034249828ddd935afc1916,merged_deduped.csv,merged_deduped.csv,L1-01,談企業全球布局與經濟發展，排除施政管理,,L2-01|L2-06|L2-07,台灣企業成為日不落國→L2-06；立足台灣、布局全球、行銷全世界之願景→L2-07；以台灣為主體參與全球經濟→L2-01,
_11388365778a,_11388365778a_u012,"他希望,台日人員互訪、經濟交流更加擴大,台灣活躍在各種不同國際場合,身為鄰國的日本都會支持,希望台日未來更上層樓、共同發展。",claim,"前原誠司說,他個人也期盼台灣有機會加入CPTPP,會竭盡所能,從旁協助。",(編輯:郭無患)1120703 會晤日本在野黨訪團 柯文哲:盼重啟美日台溝通平台 會見游錫堃 日本在野黨訪團:支持台灣加入CPTPP 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨,[],[],False,,4bad9d36c194512ef33f1ee6b5961023,False,02_Ke_chinatimes_news,2023-07-03 12:15:00,"他希望,台日人員互訪、經濟交流更加擴大,台灣活躍在各種不同國際場合,身為鄰國的日本都會支持,希望台日未來更上層樓、共同發展。",True,institution_only,True,gate: 2 inst terms,False,KEEP,0.5016419291496277,,,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,6728,req_71a0f7e55c754d6f93d3d161f2e2c884,merged_deduped.csv,merged_deduped.csv,L1-01,主軸為台日經濟交流與共同發展，排除L1-03,,L2-01|L2-07,台灣活躍於國際場合→L2-01；台日共同發展、支持→L2-07,
_0f5042991ad4,_0f5042991ad4_u010,"賴副總統說,數位轉型時代已經來臨,可以預見未來將全面智慧化,包括數位製造、數位金融、智慧家庭、智慧城市、甚至智慧國家等,對於每一個國家都是很大的挑戰,但這是台灣的機會,應該要掌握。",claim,"賴副總統指出,為了發揮金融的力量,政府在去年9月發布「綠色金融行動方案3.0」,鼓勵金融機構從自身淨零減碳做起,再透過對投資標的碳盤查等,驅動產業致力於減碳轉型。","賴副總統表示,未來他將結合台灣各界力量推動國家希望工程,打造創新繁榮的台灣,以創新驅動的經濟發展模式,積極投資下一代的科技創新,包括人工智慧、半導體、量子電腦、低軌道衛星及太空科技等產業,走在時代的前端。",[],[],False,,3bd6a6728e9486a0fd2d0a3a82e2e5b6,False,03_Lai_chinatimes_news,2023-10-12 19:56:00,"賴副總統說,數位轉型時代已經來臨,可以預見未來將全面智慧化,包括數位製造、數位金融、智慧家庭、智慧城市、甚至智慧國家等,對於每一個國家都是很大的挑戰,但這是台灣的機會,應該要掌握。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,5284,req_89fed2c3fd1a487f90e1aaec1b54ef8d,merged_deduped.csv,merged_deduped.csv,L1-01,數位與智慧化帶來產業與經濟機會→經濟；非單純施政管理,,L2-01|L2-07,智慧國家→L2-01；這是台灣的機會、應該要掌握→L2-07,
_e8e580456b55,_e8e580456b55_u000,"begins today with the theme “Rebuilding Trust &amp; Reigniting Global Solidarity,” yet  a peace-loving democracy vital to the global economy &amp;",context,,,[],[],False,,adfe4162d3868d2822d794c95dde4e62,False,01_Hou_X_datasets,2023-09-05 23:59:00,,,,,,,,,,,,,03_X_datasets/01_Hou_X_datasets_units.csv,2,,15311,req_5befe3b11cac4b5cbcbc913d4875de65,merged_deduped.csv,merged_deduped.csv,L1-01,提到和平民主與全球經濟重要性，屬經濟脈絡,,L2-01|L2-03|L2-06|L2-07|L2-08,peace-loving democracy→L2-08；vital to the global economy→國家成就/重要性→L2-06；全球團結/solidarity→共同體願景→L2-07；隱含作為國際行為主體→L2-01；國際場域/全球→L2-03,
_b17f2fe5f024,_b17f2fe5f024_u008,"蔡總統說,政府強化基礎建設,讓台灣經濟發展穩定向前,利用產業優勢發展國防產業,成為世界關鍵角色。",claim,"蔡總統表示,選舉時會有一些競爭,台灣優質的民主,國際評比為亞洲第一,一個遭受外來威脅的國家,還能堅持走自由民主的路,真的很不簡單,這也是台灣共同的資產。","希望目前所做的事,未來總統可接手,帶領人民繼續走下去,也希望有優質立委能幫助行政部門,讓地方需求、建設,可以用國家力量支持。",[],[],False,,fad9d5e600d64b29901ad514c0404b56,False,02_Ke_chinatimes_news,2023-12-30 14:08:00,"蔡總統說,政府強化基礎建設,讓台灣經濟發展穩定向前,利用產業優勢發展國防產業,成為世界關鍵角色。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,22106,req_3a1869f350df4321b515fe450698408b,merged_deduped.csv,merged_deduped.csv,L1-01,問題定義=經濟與產業發展，非單純施政,,L2-01|L2-06|L2-07,強化基礎建設帶動經濟、成為世界關鍵角色→成就/願景自豪L2-06；打造國防產業、世界關鍵角色→願景動員L2-07；以台灣為世界關鍵角色→主體性展演L2-01,
_681361ab8a70,_681361ab8a70_u010,"古屋表示,日華懇已訂定基本方針,全面支持台灣加入CPTPP,且非常努力對日本各政府單位發公文。",claim,"會談時,柯文哲主動詢問台灣要加入CPTPP,古屋等人能否提供建議。","他說,一度在日本有部分食品(指福島等5縣食品)無法出口到台灣,在台灣當局努力下,終於大幅解禁,台灣要加入CPTPP的障礙算是消除了。",[],[],False,,c83f202d3cc75528c24d3862ee94063f,False,02_Ke_chinatimes_news,2023-06-05 22:59:00,"古屋表示,日華懇已訂定基本方針,全面支持台灣加入CPTPP,且非常努力對日本各政府單位發公文。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.4865503013134002,,,False,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,17636,req_8cf78b7329a543e29f42af34590300ad,merged_deduped.csv,merged_deduped.csv,L1-01,國際經貿協定與貿易支持，排除施政管理,,L2-01|L2-03,支持台灣加入CPTPP→國際規範與組織參與權→L2-03；以台灣為對象的國際政治行動→主權主體預設→L2-01,
_47a837f7f64a,_47a837f7f64a_u016,"但如今柯文哲立場出現重大轉變,他在台灣外籍記者聯誼會上表示,立法院通過「兩岸協議監督條例」後,就可以與中國洽談相關貿易協議。",claim,"早在2014年,他就曾支持學生領導的太陽花學運,迫使當時的國民黨政府放棄與北京擬議的經濟協議。","柯文哲說:「之後,貨物貿易應該先於服務貿易...循序漸進。」他指出,中國仍是台灣最重要的市場。","[{""name"": ""柯文哲"", ""party"": ""TPP""}]","[""立法院|institution"", ""兩岸|cross-strait""]",False,,ee3e0042be44cc45b53ba2c7ab9934eb,False,01_Ho_chinatimes_news,2024-01-06 21:12:00,"但如今柯文哲立場出現重大轉變,他在台灣外籍記者聯誼會上表示,立法院通過「兩岸協議監督條例」後,就可以與中國洽談相關貿易協議。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_chinatimes_news_units.csv,1,,21017,req_6e1b218166404be2b5b904879b0a04d2,merged_deduped.csv,merged_deduped.csv,L1-01,兩岸經貿協議與市場敘事屬經濟，非主權安全,,L2-01,兩岸協議監督條例規範台中互動→L2-01；與中國洽談協議、貿易協議→主權行為展演→L2-01,
_2a5d6a86f466,_2a5d6a86f466_u007,(編輯:郭諭儒)1120916 賴清德雲林廟宇參拜 國民黨議長沈宗隆同框 經濟部:賴清德老家非礦業用地 地目變更屬地方職權 雲林陸配中風無法返鄉辦除籍 海基會助獲定居證 台大培育離岸風電人才國家隊 促進產業發展,context,"透過 Google News 賴清德則讚許劉建國致力於濁水溪揚塵治理,以前吃飯配沙,現在明顯改善,此外劉建國在中央一直爭取國家級高齡健康及長照研究中心設置在雲林縣,針對台灣人口老化超前部屬,打造健康的台灣,讓大家身體健康。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""國民黨"", ""party"": ""KMT""}]",[],False,,789683bedca585c653b9ca865b65fbf3,False,03_Lai_chinatimes_news,2023-09-16 14:53:00,"(編輯:郭諭儒)1120916 賴清德雲林廟宇參拜 國民黨議長沈宗隆同框 經濟部:賴清德老家非礦業用地 地目變更屬地方職權 雲林陸配中風無法返鄉辦除籍 海基會助獲定居證 台大培育離岸風電人才國家隊 促進產業發展 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5158031582832336,,,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,10577,req_1a033ecbb8d641f3b733dfb8bc68145b,merged_deduped.csv,merged_deduped.csv,L1-01,離岸風電人才國家隊促進產業發展→經濟；非施政管理,,L2-01|L2-07,離岸風電人才國家隊→國家作為行為主體→L2-01；促進產業發展願景→L2-07,
萧美琴专访_d60ae253e66a,萧美琴专访_d60ae253e66a_u121,"萧美琴: 确实是很棘手,因为我们一直想要深化跟美国的经贸关系那我记得有一位以前布什时代的官员曾经跟我说当年他们在跟韩国谈自由贸易协议的时候曾经有内部讨论要不要也跟台湾启动可是那个时候几乎是一面倒的不认为台湾已经准备好也。",claim,"当然是会更容易啦那我觉得台湾民意是有几项共识是可以让我们很清楚的去向美方做说明的包含对我们整个现在的这个想要维护和平的决心那维持现状等等这些在民意各种的指标上都有一定的的这个共识那另外,在经济上面跟美国的经济上有能够进一步的发展包含我们多年来在争取的贸易谈判啦",萧美琴: 他们觉得台湾应该要展现一个跟国际接轨的的努力跟标准。,"[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],False,,804a646139852136dd89580934e03a27,False,萧美琴专访,,"萧美琴: 确实是很棘手,因为我们一直想要深化跟美国的经贸关系那我记得有一位以前布什时代的官员曾经跟我说当年他们在跟韩国谈自由贸易协议的时候曾经有内部讨论要不要也跟台湾启动可是那个时候几乎是一面倒的不认为台湾已经准备好也。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.642885983,,,False,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3,,11274,req_bd309d44051142179ce89940fb7c6c02,merged_deduped.csv,merged_deduped.csv,L1-01,談台美自由貿易協議與經貿關係，屬經濟非施政,,L2-01|L2-03|L2-07,深化跟美經貿關係、談自由貿易協議→國際經貿規範L2-03；以台灣為談判主體→主權行為者L2-01；經貿願景深化→動員願景L2-07,
_3c5ce1c98c79,_3c5ce1c98c79_u015,"今年,台灣不僅和美國達成首批「台美21世紀貿易倡議」簽署,也陸續與菲律賓、印度和越南簽署更新投資協定,而台加「投資促進及保障協議」也啟動談判,種種的努力與成果,讓國際社會看見台灣,深化與台灣的連結。",context,"「過去,民進黨站在第一線對抗專制獨裁政權,如今,我們的新使命是守護台灣,並且促進台灣的民主、和平與繁榮。」 宣言也指出,民進黨身為執政黨,從2016年以來,推動各項經濟政策,持續壯大台灣,也積極連結國際盟友,加強合作。","「台灣需要世界,世界也需要台灣。」台灣以具體行動,成為民主陣營的堅實夥伴,國際挺台聲量也與日俱增。",[],[],False,,8a2959bfc2f5554ab2ee3b2483b1f630,False,03_Lai_ltn_news,2023-07-16 16:36:43,"今年,台灣不僅和美國達成首批「台美21世紀貿易倡議」簽署,也陸續與菲律賓、印度和越南簽署更新投資協定,而台加「投資促進及保障協議」也啟動談判,種種的努力與成果,讓國際社會看見台灣,深化與台灣的連結。",True,institution_only,True,gate: 3 inst terms,False,KEEP,0.4739164113998413,,,False,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,12157,req_e63d3b580ae74c5690053b53e50a64a8,merged_deduped.csv,merged_deduped.csv,L1-01,國際經貿協定與投資連結，非安全主權,,L2-01|L2-03|L2-06,與多國簽署協定、啟動談判→主權行為展演L2-01；國際社會看見台灣、深化連結→國際肯定成就L2-06；多邊協定與國際連結作為論據→L2-03,
_f951a121e372,_f951a121e372_u012,"就業方面,台灣去年有派投資團和企業團參訪,可以在電動汽車、食品加工和紡織業上合作,目前有初步草案,經濟部長王美花也會到巴拉圭做進一步的洽談與合作。",context,"賴副總統舉例,教育方面,兩國已經建立了台巴科技大學;","透過 Google News 賴副總統也說,感謝僑胞的努力,讓國際社會看到台灣,也感謝全國人民的努力,讓台灣的實力越來越強,讓國際社會看到台灣是一股良善的力量。",[],[],True,,b60bd15b676bbdfda7e558d5dc62be9b,False,02_Ke_chinatimes_news,2023-08-18 06:56:00,"就業方面,台灣去年有派投資團和企業團參訪,可以在電動汽車、食品加工和紡織業上合作,目前有初步草案,經濟部長王美花也會到巴拉圭做進一步的洽談與合作。",True,institution_only,True,gate: 3 inst terms,False,REVIEW,0.3320763707160949,,,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,16004,req_ea89f09623bb4c03a50ec12cc3cdff12,merged_deduped.csv,merged_deduped.csv,L1-01,對外投資與產業合作屬經濟議題，排除L1-06,,L2-01|L2-07,對外投資團、部長赴巴拉圭洽談合作→以國家行為者身分從事經貿外交→L2-01；經貿合作願景→L2-07,
_988d79121a4c,_988d79121a4c_u006,"巴拉圭反對黨主張逐步向北京靠攏,稱與台灣的正式外交關係,損害了該國農產品出口中國的利益;",claim,"批評人士則表示,貝尼亞屬於脫離現實的精英階層,且缺乏從政經驗,不過是前總統卡提斯(Horacio Cartes)的傀儡罷了。","貝尼亞卻執意維繫台巴邦交,堅稱「絕不會這樣做」。",[],[],False,,c269f2beb5ff27ddb5191b8f44c98ac5,False,03_Lai_ltn_news,2023-08-16 09:24:16,"巴拉圭反對黨主張逐步向北京靠攏,稱與台灣的正式外交關係,損害了該國農產品出口中國的利益;",True,institution_only,True,gate: strong_anchor,False,KEEP,0.4251401424407959,,,False,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,17090,req_09b85fa993894812b8ea9b0a64361ca4,merged_deduped.csv,merged_deduped.csv,L1-01,主題為農產品出口利益的經貿考量，非主權安全,,L2-01|L2-05,與台灣的正式外交關係→主權行為預設→L2-01；外交選邊影響利益→國家層級利害→L2-05,
_cea778b68875,_cea778b68875_u023,"從貿易便捷化到中小企業的就業和成長,乃至各項全球新興的貿易議題,臺美將簽署自1979年以來,最全面性的貿易協定。",context,"就在昨天,臺美雙方共同宣布,「台美21世紀貿易倡議」首批協定內容。","這不只是讓臺美經貿關係,邁向新的里程碑,也為臺灣和主要貿易國家洽簽貿易協定,跨出重要的一步。",[],[],False,,b9315684a7c20a4725f93cb1efdf5b6f,False,03_Lai_ltn_news,2023-05-20 10:51:47,"從貿易便捷化到中小企業的就業和成長,乃至各項全球新興的貿易議題,臺美將簽署自1979年以來,最全面性的貿易協定。",True,institution_only,True,gate: 2 inst terms,False,REVIEW,0.1560586243867874,KEEP,0.8675375506281853,False,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,16273,req_2b28924e6ad54cf68945969e5ede5c96,merged_deduped.csv,merged_deduped.csv,L1-01,主題為台美貿易與就業成長，屬經濟,,L2-01|L2-06,台美將簽署貿易協定→主權行為展演L2-01；最全面性協定→成就/里程碑隱含自豪L2-06,
