doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier,debate_short_review,id,custom_id,source_file,source_relpath,L1_label,L1_reasoning,L1_error,L2_labels,L2_reasoning,L2_error,candidate,party,source_type,_period
_ab040eeaac18,_ab040eeaac18_u002,"由於美國總統拜登與副總統賀錦麗,將在下周陸續訪問越南與印尼,並參與東協峰會。",context,"中國周一(8月28日)公布最新版的標準地圖,不但無理納入台灣,更把整個南海都吃下,連與印度之間具有主權爭議而且不在中國控制範圍的領土,全部都劃成中國的。","中方在這個時間點引發鄰國不滿,會否讓部分國家更傾向美國,或者讓主權爭議成為藉時的討論重點,各界高度關注。",[],[],False,,a6602b5d66dc5a1d467b9d752ed490c1,False,03_Lai_tvbs_news,2023-09-01 20:00:00,"由於美國總統拜登與副總統賀錦麗,將在下周陸續訪問越南與印尼,並參與東協峰會。",True,institution_only,True,gate: core_election,False,REVIEW,0.2821203172206878,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,14652,req_67915396fd0147fa82ab4c315efc3378,merged_deduped.csv,merged_deduped.csv,L1-06,描述外交行程背景，無安全威脅論述,,,僅述美國領袖出訪與參與峰會，無主權宣示、國際法論證、威脅或動員語彙→不觸發任何L2,,赖清德,DPP,news,2023-09
_69b12cf565f1,_69b12cf565f1_u001,"對此,TVBS 56頻道《金臨天下》邀集專家一同討論會不會讓聯準會升息變得更多,對經濟帶來更大的傷害。",context,"為了要抑制通膨,美國聯準會在去(2022)年激進升息,對於美國接下來經濟的發展,市場充斥著硬著陸、軟著陸的爭議,不過現在有部分經濟學家開始討論第三種的可能性,就是不著陸。","根據《華爾街日報》報導,經濟學家在談論美國的經濟到底是硬著陸還是軟著陸,如果增長持續加速,有沒有可能兩個都不發生?",[],[],False,,aad10a9767c58cd380507081cd95fee5,False,03_Lai_tvbs_news,2023-02-14 22:26:00,"對此,TVBS 56頻道《金臨天下》邀集專家一同討論會不會讓聯準會升息變得更多,對經濟帶來更大的傷害。",True,institution_only,False,,False,REVIEW,0.4198420643806457,,,True,REVIEW,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,15009,req_74d47acd1f5d4d56b223a29690f98692,merged_deduped.csv,merged_deduped.csv,L1-01,討論升息與經濟傷害，屬經濟,,,純經濟與媒體節目討論，無主權、認同、威脅或動員語彙→無標籤,,赖清德,DPP,news,2023-02
_406548d8a7bd,_406548d8a7bd_u000,"2010年獲頒《工藝之家》藝術家,2013年獲頒聯合國教科文組織《國際陶藝學會》藝術家。",context,,"藝術家施宣宇:「我看這個名字叫御風《御風而行》是從《莊子》裡面出來的,這麼有哲思但是它很現代感,我看是一對翅膀,對它的確是,它的兩個翅膀是獨立出來然後可以變成是可以旋轉的,我的東西的話很大量的使用金屬陶瓷琉璃等等,那這個鹿是紫色,這個顏色又很迷人,因為紫色就很高貴,然後它這裡有兩個這樣下垂的東西,然後它的那個頭角是用玻璃像喇叭花狀的這樣散開來的,哇這個結構是怎麼來的。」 2024總統大選倒數、候選人、民調分析盡在TVBS 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 2024十二生肖運勢搶先看 「這生肖」把握前途無量的一年 👉早上空腹喝黑咖啡的真相 👉代謝出狀況?",[],[],False,,4397b33199e6b45a382f4bebc8c92a1c,False,03_Lai_tvbs_news,2023-12-08 21:46:00,"2010年獲頒《工藝之家》藝術家,2013年獲頒聯合國教科文組織《國際陶藝學會》藝術家。",True,institution_only,True,gate: 2 inst terms,False,REVIEW,-0.0300677120685577,KEEP,0.4076723456382751,False,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,6004,req_49919fbf405e4da3bbbb0ccb70ce76d1,merged_deduped.csv,merged_deduped.csv,L1-04,純經歷介紹，無政策經濟情緒,,,僅個人藝術頭銜與UNESCO學會認證，無國家/台灣主體、無認同或動員語彙,,赖清德,DPP,news,2023-12
_97ce6b32b7f2,_97ce6b32b7f2_u001,"雖然人已在美國踢球,但先前潛在買家之一的沙烏地阿拉伯公共投資基金(PIF),至今依然沒有放棄任何希望,引述當地媒體報導,傳出旗下擁有希拉爾(Al Hilal)等眾多球隊的他們,再次向邁阿密球團提出,租借梅西一年的建議,借重他和前隊友內馬爾(Neymar)的魅力,提高沙烏地阿拉伯超級聯賽的關注程度。",context,,,[],[],False,,c27cbe93527119fa00ecde790f6aaada,False,03_Lai_tvbs_news,2023-08-18 15:56:00,"雖然人已在美國踢球,但先前潛在買家之一的沙烏地阿拉伯公共投資基金(PIF),至今依然沒有放棄任何希望,引述當地媒體報導,傳出旗下擁有希拉爾(Al Hilal)等眾多球隊的他們,再次向邁阿密球團提出,租借梅西一年的建議,借重他和前隊友內馬爾(Neymar)的魅力,提高沙烏地阿拉伯超級聯賽的關注程度。",True,institution_only,False,,False,REVIEW,0.3247846662998199,,,False,REVIEW,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,17098,req_b51fda8226fd4a40bfe52ff523302533,merged_deduped.csv,merged_deduped.csv,L1-07,體育轉會與聯賽商業操作，非政治,,,體育轉會新聞，無主權、認同、威脅或動員相關語彙→無,,赖清德,DPP,news,2023-08
_87e2d3a253a7,_87e2d3a253a7_u009,"聯名《航海王》25週年,日期、地點、試放場次一次看 2024總統大選 TVBS報票員招募中 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 2024十二生肖運勢搶先看 「這生肖」把握前途無量的一年 全新百貨級菜市場正式開幕!",context,,,[],[],False,,2b878b24c4d0108ee9985a0b6ecb9f55,False,03_Lai_tvbs_news,2023-12-14 22:18:00,"聯名《航海王》25週年,日期、地點、試放場次一次看 2024總統大選 TVBS報票員招募中 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 2024十二生肖運勢搶先看 「這生肖」把握前途無量的一年 全新百貨級菜市場正式開幕!",True,institution_only,True,gate: core_election,False,REVIEW,0.4198662936687469,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,3865,req_1dd0ee6beb91403b80b9d0d1d73d43c6,merged_deduped.csv,merged_deduped.csv,L1-07,活動宣傳與生活資訊，非政治,,,純活動與廣告資訊，無主權、認同、威脅、動員或價值論述→無標籤,,赖清德,DPP,news,2023-12
_c1ba488807c8,_c1ba488807c8_u002,"媒體報導,黃仁勳在紐約時報的年度DealBook峰會上說,拜登政府試圖將中國與美國晶片供應脫鉤,這是一條「該走的路」,但美國半導體供應鏈要完全獨立,在1至2年內還不是真正可行的事情。",claim,"產業專家認為,半導體供應鏈牽涉範圍廣泛,世界各國短期都難以完全實現晶片獨立。",2024總統大選倒數、候選人、民調分析盡在TVBS 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 露營好禮免費抽!,[],[],False,,12d83704e86c114d78a9daf13d737a67,False,03_Lai_tvbs_news,2023-11-30 17:45:00,"媒體報導,黃仁勳在紐約時報的年度DealBook峰會上說,拜登政府試圖將中國與美國晶片供應脫鉤,這是一條「該走的路」,但美國半導體供應鏈要完全獨立,在1至2年內還不是真正可行的事情。",True,institution_only,True,gate: 4 inst terms,False,REVIEW,0.4054337441921234,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,1652,req_c38c9505458b40c3bdd62f545cf66629,merged_deduped.csv,merged_deduped.csv,L1-01,談晶片供應鏈與脫鉤的可行性屬經濟,,,美中晶片供應鏈脫鉤、供應鏈獨立→無台灣/國家主體、無認同與動員語彙,,赖清德,DPP,news,2023-11
_27354b04a8dd,_27354b04a8dd_u000,"63歲資深藝人徐乃麟熱愛投資副業,過去曾砸錢做潛艇堡、董月花奶鋪、蛋撻、紅酒、店商平台到現在的「輸不起乾拌麵」,即使大部分的投資都以失敗收場,他仍信心滿滿地再砸下400萬元開「CRUMB CO. 可朗烘焙坊」,就為一圓愛妻的夢想。",context,,喊話回歸:為了兩岸和平 更多新聞:主播王又正節目「全員走光」停播2個月!,[],[],False,,763992515dd252ae534700b35bf96d85,False,03_Lai_tvbs_news,2023-03-01 17:29:00,"63歲資深藝人徐乃麟熱愛投資副業,過去曾砸錢做潛艇堡、董月花奶鋪、蛋撻、紅酒、店商平台到現在的「輸不起乾拌麵」,即使大部分的投資都以失敗收場,他仍信心滿滿地再砸下400萬元開「CRUMB CO. 可朗烘焙坊」,就為一圓愛妻的夢想。",True,institution_only,False,,False,REVIEW,0.2824624478816986,,,False,REVIEW,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,10401,req_ed59ddf0fc094e07989fd55518d565c3,merged_deduped.csv,merged_deduped.csv,L1-07,娛樂人物投資故事，無公共政策,,,純個人投資與家庭夢想，無國家、集體、主權、威脅或動員語彙,,赖清德,DPP,news,2023-03
_148c2221ad97,_148c2221ad97_u002,"內政部表示,2024年依紀念日及節日實施辦法規定,全國應放假的紀念日及節日包括中華民國開國紀念日、農曆除夕、春節、和平紀念日、兒童節、民族掃墓節、端午節、中秋節及國慶日,其中春節放假3天,合計放假11天;",claim,,"另外,勞動節時勞工放假1天。",[],[],False,,2f895af2e85868f1e971b6f8d74ed152,False,03_Lai_tvbs_news,2024-01-11 10:43:00,"內政部表示,2024年依紀念日及節日實施辦法規定,全國應放假的紀念日及節日包括中華民國開國紀念日、農曆除夕、春節、和平紀念日、兒童節、民族掃墓節、端午節、中秋節及國慶日,其中春節放假3天,合計放假11天;",True,institution_only,True,gate: 2 inst terms,False,REVIEW,0.2726298570632934,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,4203,req_24b6ccff74104ceaafa86a7b5b9028bf,merged_deduped.csv,merged_deduped.csv,L1-06,說明放假規定與辦法，屬行政管理，非民生福祉主軸,,L2-06,中華民國開國紀念日、國慶日等國定紀念日節日→國家象徵與共同記憶→L2-06,,赖清德,DPP,news,2024-01
_43c380924c17,_43c380924c17_u001,"恰巧的是,曾在去年初出訪宏國的賴清德今(15日)上午登記參與民進黨總統初選。",context,"友邦宏都拉斯總統秀瑪菈.卡斯楚(Xiomara Castro)宣布,已指示外交部長雷依納(Eduardo Reina)處理與中國建立正式關係事宜。","對此,民進黨立委何志偉說,今天是賴清德主席登記參選的日子,外交事務有的時候與國內政治的確環環相扣,有人故意在搞我們。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,e2585b54e2cbc8956692b3c04400acff,False,03_Lai_tvbs_news,2023-03-15 11:34:00,"恰巧的是,曾在去年初出訪宏國的賴清德今(15日)上午登記參與民進黨總統初選。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.4791824221611023,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,19941,req_0cc0ec3b34d247a4bff3ff19c0eba8c2,merged_deduped.csv,merged_deduped.csv,L1-06,描述選舉程序事件，屬政治管理,,,僅述賴清德登記參選、無主權/認同/威脅/動員等國族訊號→不觸發L2,,赖清德,DPP,news,2023-03
_2f7b6c0e365a,_2f7b6c0e365a_u000,"民進黨立委劉世芳日前宣布放棄連任高市第3選區(左營、楠梓)立委,外界關注這一區將會由誰接棒。",context,,"先前有消息傳出,無黨籍高雄市議員黃捷可能轉戰該區參選,不過,傳出民進黨有一份地方流傳的民調顯示,幾名在地議員民調都超過20%以上,其中李柏毅42%為最高,黃捷民調僅9%。","[{""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,c677b4bdbee9082c9b18f7479bfa7c8b,False,03_Lai_tvbs_news,2023-05-30 09:40:00,"民進黨立委劉世芳日前宣布放棄連任高市第3選區(左營、楠梓)立委,外界關注這一區將會由誰接棒。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5405228137969971,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,17461,req_7d3eedc00d264b209ea546b3120ddabb,merged_deduped.csv,merged_deduped.csv,L1-07,單純選情與人選討論，無政策議題,,,單純選區接棒與人選討論，無主權、威脅、認同或動員語彙,,赖清德,DPP,news,2023-05
_fca659bcb710,_fca659bcb710_u007,"(圖/翻攝自《微博》) 段穎年僅38歲就出任雲南省投資促進局黨組書記,曾是最年輕的正廳級女幹部。",context,"中國大陸屢傳女官員桃色醜聞,雲南省投資促進局原黨組書記、局長段穎,年僅41歲就位高權重,曾是中國最年輕正廳級官員,看似前途無量的她,卻在近日被爆「搞權色交易、與多人發生發生不正當性關係」,嚴重違紀違法慘被「雙開」(開除黨籍、公職)。",,[],[],False,,20e36f271e7e87a7d0062523b215d686,False,03_Lai_tvbs_news,2023-02-18 18:27:00,"(圖/翻攝自《微博》) 段穎年僅38歲就出任雲南省投資促進局黨組書記,曾是最年輕的正廳級女幹部。",True,institution_only,False,,False,KEEP,0.5214197635650635,,,False,REVIEW,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,2935,req_92c487feaf3d4c618af5dfe80e8a48bd,merged_deduped.csv,merged_deduped.csv,L1-07,人物背景描述，無政策經濟道德主題,,,僅描述個人仕途與職位，無主權、認同、威脅或動員等國族建構訊號,,赖清德,DPP,news,2023-02
