doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier,debate_short_review,id,custom_id,source_file,source_relpath,L1_label,L1_reasoning,L1_error,L2_labels,L2_reasoning,L2_error,candidate,party,source_type,_period
_fa72e51342f4,_fa72e51342f4_u006,"(示意圖/Shutterstock達志影像) *民俗說法僅供參考,不代表本新聞網立場* 2024總統大選倒數、候選人、民調分析盡在TVBS 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 露營好禮免費抽!",claim,,,[],[],False,,58dd7a638bb271b2179ae9691ce7556a,False,03_Lai_tvbs_news,2023-11-29 14:10:00,"(示意圖/Shutterstock達志影像) *民俗說法僅供參考,不代表本新聞網立場* 2024總統大選倒數、候選人、民調分析盡在TVBS 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 露營好禮免費抽!",True,institution_only,True,gate: core_election,False,KEEP,0.7326339483261108,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,7843,req_277d01391d4a45ddb810c59bde8be445,merged_deduped.csv,merged_deduped.csv,L1-07,活動宣傳與情緒氛圍，無政策議題,,,無主權、威脅、認同、動員、價值等國族建構訊號,,赖清德,DPP,news,2023-11
_df573d782516,_df573d782516_u000,"民進黨總統參選人賴清德今(20日)下午將宣布副手人選,他上午10時30分許,在臉書發表長文表示,「即將在今天下午正式向國人宣布,邀請美琴成為我參選 2024 總統大選的競選搭檔,我相信,這是眾所期待的決定,也是最好的決定」。",claim,,"賴清德表示,這幾天台北清晨的氣溫,讓我想起3年前,2020年我與蔡英文總統剛剛贏得大選後的2月,出訪美國在華盛頓特區的天氣,雖然氣溫有些冷冽,但那片萬里無雲的天空,在太陽的照耀下,讓人充滿著希望。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,cf822465b2c4a681aed983a571aa3530,False,03_Lai_tvbs_news,2023-11-20 10:57:00,"民進黨總統參選人賴清德今(20日)下午將宣布副手人選,他上午10時30分許,在臉書發表長文表示,「即將在今天下午正式向國人宣布,邀請美琴成為我參選 2024 總統大選的競選搭檔,我相信,這是眾所期待的決定,也是最好的決定」。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.6090328693389893,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,18275,req_6244551172af455e8fe28684ce102426,merged_deduped.csv,merged_deduped.csv,L1-07,單純選戰與人事宣布，無政策議題,,,單純宣布副手與競選搭檔、無主權/認同/威脅/動員等國族訊號→無,,赖清德,DPP,news,2023-11
_40288ffa3146,_40288ffa3146_u005,(示意圖/Shutterstock達志影像) 更多新聞:政府發錢了!,context,,,[],[],False,,b2017af66836a1850146f6919196c374,False,03_Lai_tvbs_news,2023-01-17 14:45:00,(示意圖/Shutterstock達志影像) 更多新聞:政府發錢了!,True,institution_only,False,,False,KEEP,0.5091656446456909,,,False,REVIEW,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,15634,req_f9ba7fc961214aaba35793abad7fbc61,merged_deduped.csv,merged_deduped.csv,L1-07,僅情緒性呼喊與吸睛標題,,,僅「政府發錢」民生訊息，無主權、認同、威脅或動員語彙→無,,赖清德,DPP,news,2023-01
_7a24efa5f69b,_7a24efa5f69b_u007,"(圖/李鼎國際文化提供) 2024總統大選倒數、候選人、民調分析盡在TVBS 加入《TVBS娛樂頭條》官方LINE帳號,拿熱門旅宿券 加入《TVBS娛樂頭條》官方LINE帳號,拿熱門旅宿券 年度包款100選!",context,,,[],[],False,,db78b9a2f0df97a50cfedc554e5e5f37,False,03_Lai_tvbs_news,2023-11-05 14:05:00,"(圖/李鼎國際文化提供) 2024總統大選倒數、候選人、民調分析盡在TVBS 加入《TVBS娛樂頭條》官方LINE帳號,拿熱門旅宿券 加入《TVBS娛樂頭條》官方LINE帳號,拿熱門旅宿券 年度包款100選!",True,institution_only,True,gate: core_election,False,KEEP,0.559422492980957,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,19373,req_58d5ddfcd49747a68838589ca00fe094,merged_deduped.csv,merged_deduped.csv,L1-07,宣傳媒體與活動，無政策議題,,,純媒體與廣告宣傳，無主權、認同、威脅或動員等國族建構訊號,,赖清德,DPP,news,2023-11
_98fdf6367f34,_98fdf6367f34_u003,2024總統大選倒數、候選人、民調分析盡在TVBS 就是你!,context,,,[],[],False,,e235fe41a6cdc38c76cf57b8f9e0636a,False,03_Lai_tvbs_news,2023-10-18 10:36:00,2024總統大選倒數、候選人、民調分析盡在TVBS 就是你!,True,institution_only,True,gate: core_election,False,KEEP,0.665979266166687,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,19935,req_7254f0cefaf84852b17ccc0c0e99a1e5,merged_deduped.csv,merged_deduped.csv,L1-07,選舉宣傳情緒號召，無政策論證,,,僅選舉宣傳與頻道口號，無主權、威脅、認同或動員內涵→無,,赖清德,DPP,news,2023-10
_93d7f2964820,_93d7f2964820_u001,"先前三月底時,傳出為了防止台灣各種關鍵基礎設施可能成為共軍占領目標,行政院將研議成立「保安警察第八總隊」,據《TVBS》掌握消息,未來成立保八總對的考能性低,較多機率是由保二總隊擴編,不排除警方會增設「刺針飛彈」等設備與訓練。",context,"中國大陸從去年開始頻頻派出共機擾台,甚至多次逾越海峽中線及其延伸線進入西南及東南空域,持續在台海周邊活動,而在蔡英文總統與美國眾院議長會面返國後,共軍更宣布對台軍演。",第二核能發電廠屬於保二第二大隊轄區範圍。,[],[],False,,2e615b7a9d71b7eb14e237c251ad6f20,False,03_Lai_tvbs_news,2023-04-19 16:12:00,"先前三月底時,傳出為了防止台灣各種關鍵基礎設施可能成為共軍占領目標,行政院將研議成立「保安警察第八總隊」,據《TVBS》掌握消息,未來成立保八總對的考能性低,較多機率是由保二總隊擴編,不排除警方會增設「刺針飛彈」等設備與訓練。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,False,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,4119,req_560f81581000449eb03515c7527bfcee,merged_deduped.csv,merged_deduped.csv,L1-03,軍事威脅下基礎設施防護，屬安全議題，非單純警政行政,,L2-05,共軍占領目標、防止關鍵基礎設施被攻→L2-05,,赖清德,DPP,news,2023-04
_8c4ca695210c,_8c4ca695210c_u006,(圖/翻攝自 Marie Claire Korea YouTube) 更多新聞:防彈少年團RM個資外流!,context,A咖韓星逃稅手法一致 韓國會計:就是違法 出道初期的劉亞仁能對著鏡頭侃侃而談。,,[],[],False,,926b3e7c1d30750dfc3d430158c3ea7f,False,03_Lai_tvbs_news,2023-03-02 15:48:00,(圖/翻攝自 Marie Claire Korea YouTube) 更多新聞:防彈少年團RM個資外流!,True,institution_only,False,,False,KEEP,0.4427722692489624,,,False,REVIEW,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,12858,req_919f6dd0b2794918841f6ccf3aae726a,merged_deduped.csv,merged_deduped.csv,L1-07,娛樂新聞情緒渲染，無政治實質,,,純媒體說明與娛樂新聞標題，無主權、認同、威脅或動員等國族建構訊號,,赖清德,DPP,news,2023-03
_d6977b55f226,_d6977b55f226_u000,林安可是統一獅主力打者之一。,context,,(圖/統一獅提供) 吳念庭在日職西武獅二軍表現佳。,[],[],False,,adea4dd9aeb9e17eab8866da5bfa88d9,False,03_Lai_tvbs_news,2023-09-23 09:03:00,林安可是統一獅主力打者之一。,True,institution_only,True,gate: strong_anchor,False,REVIEW,0.1762244701385498,,,False,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,15305,req_2cbe6cd040dd461d9cc700b846166532,merged_deduped.csv,merged_deduped.csv,L1-07,單純體育敘述，無政治議題,,,職棒球員介紹，無主權、認同、威脅或動員相關語彙→無,,赖清德,DPP,news,2023-09
_c02509e7402b,_c02509e7402b_u005,"(圖/翻攝自彭啟明臉書) 2024總統大選倒數、候選人、民調分析盡在TVBS 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 2024龍年運勢全預測!",context,,,[],[],False,,2f1b4e7ac9b2ce754e260ca0dd591371,False,03_Lai_tvbs_news,2023-12-03 17:19:00,"(圖/翻攝自彭啟明臉書) 2024總統大選倒數、候選人、民調分析盡在TVBS 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 2024龍年運勢全預測!",True,institution_only,True,gate: core_election,False,KEEP,0.7062947154045105,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,4169,req_baf333cdd006454ca68db64c48edced1,merged_deduped.csv,merged_deduped.csv,L1-07,宣傳活動與運勢，偏情緒氣氛,,,純活動與宣傳資訊，無主權、認同、威脅、動員等國族建構訊號,,赖清德,DPP,news,2023-12
_d0ba7d4d9870,_d0ba7d4d9870_u002,(圖/賴清德辦公室提供) 2024總統大選倒數、候選人、民調分析盡在TVBS 《2023購車風向球》國人平均買車預算破百萬?,context,"台北市議員林亮君今(18)日宣布因為受到民進黨主席、總統參選人賴清德的國家願景感召,在今日下午正式加入民進黨,入黨推薦人就是賴清德。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,64f0a220be326d38b76d73953d87a936,False,03_Lai_tvbs_news,2023-09-18 18:40:00,(圖/賴清德辦公室提供) 2024總統大選倒數、候選人、民調分析盡在TVBS 《2023購車風向球》國人平均買車預算破百萬?,True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,8884,req_339eb6c856314e2e85075f7fbc98d3f2,merged_deduped.csv,merged_deduped.csv,L1-07,節目與廣告資訊，無實質政治議題,,,僅媒體節目與購車預算宣傳，無主權、認同、威脅或動員語彙→無標籤,,赖清德,DPP,news,2023-09
_622ba4171a5c,_622ba4171a5c_u000,"新北市板橋日前爆發幼兒園餵藥案,不過新北檢對此案做出不起訴處分,國民黨總統參選人侯友宜辦公室執行長金溥聰批評,民進黨總統參選人賴清德造謠不回應、賴辦發言人戴瑋姍「一個漂漂亮亮的女生發生事情就躲得跟老鼠一樣」。",claim,,,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""民進黨"", ""party"": ""DPP""}, {""name"": ""國民黨"", ""party"": ""KMT""}]",[],False,,0937533102bac2a859eb29b153c35c20,False,03_Lai_tvbs_news,2023-07-26 09:56:00,"新北市板橋日前爆發幼兒園餵藥案,不過新北檢對此案做出不起訴處分,國民黨總統參選人侯友宜辦公室執行長金溥聰批評,民進黨總統參選人賴清德造謠不回應、賴辦發言人戴瑋姍「一個漂漂亮亮的女生發生事情就躲得跟老鼠一樣」。",True,cooccur: actor×institution,True,gate: actor×inst,False,REVIEW,0.4199373722076416,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,844,req_edd73a3c56e840d5af6b3bcd42f9147d,merged_deduped.csv,merged_deduped.csv,L1-07,人身攻擊與嘲諷為主，情緒宣洩非道德論證,,,幼兒園餵藥案、造謠批評→僅政黨攻防，無國族、主權、民主、威脅等訊號,,赖清德,DPP,news,2023-07
_41549d2c197a,_41549d2c197a_u001,2024總統大選倒數、候選人、民調分析盡在TVBS 票選最愛旅店再抽眾多好禮!,context,,,[],[],False,,3755eb06ec653a5ca64a560f6f0af535,False,03_Lai_tvbs_news,2023-09-17 21:03:00,2024總統大選倒數、候選人、民調分析盡在TVBS 票選最愛旅店再抽眾多好禮!,True,institution_only,True,gate: core_election,False,KEEP,0.6227245330810547,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,4901,req_e7c64c3bac6a496e965809f55e30e9a4,merged_deduped.csv,merged_deduped.csv,L1-07,選舉宣傳語境但重在活動廣告，情緒,,,純選舉與廣告語，無主權、威脅、認同、動員或價值論述→無,,赖清德,DPP,news,2023-09
_b7342ce20113,_b7342ce20113_u003,熊霓霸氣宣示主權「我是固定班底」 曝與丁柔安不熟 更多新聞:遭胡瓜獨寵!,context,,熊霓霸氣宣示主權「我是固定班底」 曝與丁柔安不熟 許光漢在《青春18x2通往有你的旅程》的青春時期是一名即將進入大學的純情男孩。,[],[],False,,39bb2b690ef13d4bb664cc0c496e9264,False,03_Lai_tvbs_news,2023-10-30 15:26:00,熊霓霸氣宣示主權「我是固定班底」 曝與丁柔安不熟 更多新聞:遭胡瓜獨寵!,True,institution_only,True,gate: strong_anchor,False,KEEP,0.5921202301979065,,,True,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,5121,req_6ff2b2620a7a404180b9d78525c3d218,merged_deduped.csv,merged_deduped.csv,L1-07,娛樂花邊情緒語氣，無政策議題,,,「宣示主權」為個人職場地位隱喻，非國家主權；無國族、國家、集體威脅或認同語彙→不觸發任何L2,,赖清德,DPP,news,2023-10
_380bcaa6cf3c,_380bcaa6cf3c_u002,"TVBS前進華府 建立媒體、政界正向互動 記者劉亭廷於參訪華府期間,前往參議院外交委員會與知情人士進行意見交流(圖/TVBS) 記者劉亭廷於TVBS國際講座中,與香港大學生進行採訪經驗分享(圖/TVBS) 香港樹仁大學同學探討香港傳統餅店結業潮新聞專題,刊登於TVBS新聞網 (圖/TVBS) 下載新聞APP,找到通關密語拿大獎 加LINE免費刮刮樂,天天拿千元禮券 王思佳首次攜女同框!",context,"TVBS持續發展國際新聞,強化國際媒體影響力,TVBS外交軍事記者劉亭廷近日更受到「美國東西中心(The East-West Center)」邀請,與印度記者一同前往華府,展開為期三天的「台灣-印度記者對話」,也另外透過國際新聞講座,與香港大學生分享新聞採訪經驗。",,[],[],False,,436bdb248fbfa9b64f75db9fdfa13505,False,03_Lai_tvbs_news,2023-04-21 16:45:00,"TVBS前進華府 建立媒體、政界正向互動 記者劉亭廷於參訪華府期間,前往參議院外交委員會與知情人士進行意見交流(圖/TVBS) 記者劉亭廷於TVBS國際講座中,與香港大學生進行採訪經驗分享(圖/TVBS) 香港樹仁大學同學探討香港傳統餅店結業潮新聞專題,刊登於TVBS新聞網 (圖/TVBS) 下載新聞APP,找到通關密語拿大獎 加LINE免費刮刮樂,天天拿千元禮券 王思佳首次攜女同框!",True,institution_only,True,gate: strong_anchor,False,KEEP,0.5159397125244141,,,False,KEEP,01_news_datasets/03_Lai_tvbs_news_units.csv,1,,5991,req_72fbb208a02e43138cd49718469bc58b,merged_deduped.csv,merged_deduped.csv,L1-07,媒體活動與宣傳，無政策經濟等議題,,L2-01,媒體赴華府交流、國際講座→隱含台灣作為國際行為者形象，可視為軟性主體展演→L2-01,,赖清德,DPP,news,2023-04
