ID,文本,编码A,编码B,最终裁定标签,核心词,合理解释
1,卸任公职多年的前副总统連戰1月17日將出版《連戰回憶錄》，書中記錄連戰過去半世紀為兩岸關係奔走，推動兩岸和平的重要歷程，面對兩岸關係和平發展，連戰提出「三不一關鍵」，並呼籲北京當局正視中華民國政府存在的現實。,国际合法性塑造,历史叙事再造,主体性建构,正視、中華民國政府存在的現實,文本核心是“呼籲...正視...現實”，旨在申明我群作为政治实体的地位和存在权利。这完全符合[主体性建构]“申明对等的地位与尊严”的定义。在A和B中，A[国际合法性塑造]略优，因为它涉及到向外部行为体寻求地位承认。
2,隨著全球經濟逐漸邁向後疫情時代，我們面臨俄烏戰爭、全球通膨、供應鏈重組、淨零轉型及美中貿易戰等嚴峻挑戰，臺灣很難置身事外。,国际合法性塑造,共同危机建构,共同危机建构,嚴峻挑戰、很難置身事外,文本罗列了一系列外部“严峻挑战”，旨在塑造一种我群面临共同威胁的感受。这精准地命中了[共同危机建构]（即共同危机建构）的定义。编码B更准确。
3,如同全壘打，安打有助球隊得分，或讓打者上壘製造更多動態，使比賽更刺激；相較之下，三振通常是打者沒打到球，垂頭喪氣走回休息室。,充满隐喻的国家符号,公共责任感唤醒,充满隐喻的国家符号,全壘打、安打、三振,文本使用棒球的成功（安打）与失败（三振）进行类比，是一种典型的隐喻手法，用以简化和传递某种策略或理念。编码A准确。
4,校園安全事件並非單一地區或單一事件，而是全國必須一起面對的嚴肅問題。,主体性建构,团结号召,团结号召,全國必須一起面對,关键短语是“全国必须一起面对”，这是一个非常直接和明确的呼吁，要求全体成员共同行动。这完全符合[团结号召]的定义。编码B更准确。
5,侯友宜表示，憲法不僅乘載中華民國開國精神，更是國家法治根本、全體人民權利保障，如果沒有憲法，國家失了根、沒了魂，中華民國又何以是個國家。,主体性建构,充满隐喻的国家符号,充满隐喻的国家符号,根、魂,文本将“宪法”比喻为国家的“根”和“魂”，将其作为一个抽象的精神象征来论述。这完全符合[充满隐喻的国家符号]的定义。编码B更准确。
6,在今天這麼艱苦的歲月中，最重要的是要凝聚大家的向心力、向前走。,团结号召,团结号召,团结号召,N/A (一致),两位编码员的编码一致且准确。
7," ""為自己及後代和平幸福要团结...""",团结号召,共同愿景提出,团结号召,要团结,文本的结尾和行动祈使是“要团结”。虽然提到了愿景，但最终的落脚点是实现该愿景的方法和直接指令。编码A准确。
8,台灣勞工全年總工時為世界第6高，且勞保出現財務危機，不只是勞工的老年退休危機，更會是國安危機。,共同危机建构,主体性建构,共同危机建构,財務危機、國安危機,文本将劳工问题上升到“国安危机”的高度，旨在强调其严重性和普遍性，塑造一种全体社会共同面临的威胁感。编码A准确。
9,民進黨與共產黨是一樣的，都想消滅中華民國，只是現在被逼急了，改口說中華民國台灣，還是不肯講中華民國，就是想假借中華民國，遂行台獨主張。,集体记忆塑造,共同敌人设定,共同敌人设定,一樣的、都想消滅,文本明确将两个行为体（含内部政党）并列，并赋予其共同的负面意图，旨在将它们塑造为民众的共同威胁。这完全符合[共同敌人设定]的定义。编码B更准确。
10,30年前民進黨主張「清廉、勤政、愛鄉土」，他每一個字都認同，但最後與民進黨漸行漸遠的原因，不是他變了，而是他還記得當時的理想。,集体记忆塑造,差异化认同强调,差异化认同强调,不是他變了、而是他還記得,文本调用“30年前”的记忆，其最终目的是为了论证一个当下的区别：即“我”和“现在的民进党”是不同的。因此，[差异化认同强调]更能抓住其核心修辞目的。编码B更准确。
11,我們看台灣哦，我們的製造業，我們的GDP是贏韓國，但是我們的平均薪資是輸給韓國。,比较与竞争意识培养,共同危机建构,共同危机建构,但是、輸給韓國,文本用“但是”作为转折，重点强调“输给韩国”这一负面事实，旨在突出台湾面临的经济挑战。这符合[共同危机建构]的定义。编码B更准确。
12,台積電就是台灣的矽盾。,充满隐喻的国家符号,充满隐喻的国家符号,充满隐喻的国家符号,N/A (一致),两位编码员的编码一致且准确。
13,我希望大家能夠團結合作，為台灣的未來打拚。,团结号召,主体性建构,团结号召,團結合作、打拚,文本直接使用了“团结合作”的字眼，明确呼吁大家为了共同目标而一起行动。这完全符合[团结号召]的定义。编码A准确。
14,和平， 尊嚴， 公平， 正義， 清廉 勤政。,共同愿景提出,主体性建构,共同愿景提出,"和平, 尊嚴, 公平...",文本罗列了一系列积极的价值观，这本身就是在描绘一个理想的社会图景，旨在激发听众的希望。编码A准确。
15,我们有义务，为我们的孩子，留下一个更好的台湾。,团结号召,主体性建构,共同愿景提出,為我們的孩子、更好的台灣,文本清晰地描绘了一个“更好的台湾”作为奋斗目标，并与代际责任联系起来，以激发希望。这符合[共同愿景提出]的定义。编码B更准确。
16,那再来其实第三件事情就是讲到...我就回到了这个外科医师非常舒适的一个身份说因为我是外科医师，我不懂...,公共责任感唤醒,主体性建构,公共责任感唤醒,我是外科医师、我不懂,文本主语是“我”，是在论述个人的立场和局限性，而非集体的主体性。因此不适用[主体性建构]。这更接近于一种基于个人身份的道德或立场声明。
17,这并不是说我们不能选边站，而是必须格外小心。,公共责任感唤醒,公共责任感唤醒,公共责任感唤醒,必须格外小心,文本并非在定义“我们是谁”，而是在告诫我群在“选边站”这一重大议题上应该采取何种负责任的态度。核心是呼吁谨慎行事，符合[公共责任感唤醒]的定义。编码A准确。
18,在民主社会里，任何未经民意授权而设下的谈判前提，同样难以长期维持。,公共责任感唤醒,主体性建构,主体性建构,民主社会里、未经民意授权,文本在论述“我们”民主社会运作的基本原则（须经民意授权），这是对自身政治体制和身份的定义，符合[主体性建构]。编码B更准确。
19,因为在共产党体制下，党内意见必须一致，因此他们往往以相同逻辑来看待其他国家的政治运作。,主体性建构,差异化认同强调,差异化认同强调,共产党体制下、相同逻辑,文本通过描述“共产党体制”的思维逻辑，来反向衬托和区别于“我们”的政治运作方式，符合[差异化认同强调]的定义。编码B更准确。
20,香港的情况已经让台湾社会清楚地表态——这条路在台湾是完全无法接受的。,差异化认同强调,差异化认同强调,差异化认同强调,N/A (一致),两位编码员的编码一致且准确。
21,无论喜不喜欢，民进党在台湾确实拥有一定的民意基础，也代表了一定程度台湾人的心声。,共同情感动员,主体性建构,主体性建构,民意基础、台湾人的心声,文本在陈述“民进党”在台湾拥有“民意基础”这一事实，是对台湾内部政治结构和主体构成的一种描述。符合[主体性建构]。编码B更准确。
22,我其实是焦虑的，因为我一方面不希望我们的民主纯度,共同情感动员,共同情感动员,共同情感动员,N/A (一致),两位编码员的编码一致且准确。
23,就是说我们的公务体系，在从首次的总统民选到几次的政党轮替，已经...不是早年的这个党政军不分的一个公务体系。,主体性建构,主体性建构,主体性建构,N/A (一致),两位编码员的编码一致且准确。
24,但是我们也讲到说我们希望是用一个对等尊严的方式来跟对岸互动。,差异化认同强调,主体性建构,主体性建构,对等尊严的方式,文本的核心是申明与对岸互动时应有的“对等尊严”，这是在强调自身作为行动者的地位与权利，是[主体性建构]的明确体现。编码B更准确。
25,我们制衡的方式有很多，包含我们现在有非常公开的媒体，而且是非常 robust，有非常多不同意见的呈现...,公共责任感唤醒,主体性建构,主体性建构,我们制衡的方式有很多,文本在介绍“我们”所拥有的制衡方式（如公开媒体），这是在论述我方政治体制的能力和特点，属于[主体性建构]。编码B更准确。
26,我们都知道对方有一些想法是我们台湾民意没办法接受的，例如说他的一国两制。,差异化认同强调,差异化认同强调,差异化认同强调,N/A (一致),两位编码员的编码一致且准确。
27,台湾毕竟是有它的这个市场机制跟这个资源分配的公平性，两者之间怎么去找到最适切的平衡点其实是蛮重要的。,集体记忆塑造,主体性建构,主体性建构,台湾毕竟是有它的这个市场机制,文本在描述“台湾”自身的市场机制和特点，是对我方经济体制与身份的客观陈述，符合[主体性建构]。编码B更准确。
28,所以综合各种因素来看，台湾要顺畅地推动政策，确实面临挑战。...我们其实没有太多精力可以浪费在内耗上。,共同危机建构,团结号召,团结号召,没有太多精力可以浪费在内耗上,“内耗”指内部纷争。呼吁不要浪费精力在内耗上，是在间接但明确地呼吁内部应停止纷争、团结起来。此标签比A和B都更准确。
29,事实上，各方的沟通都很明确，她此行并不是要改变现状，而是向台湾人民传达一个信息——“你们不孤单”。,集体记忆塑造,共同情感动员,共同情感动员,你们不孤单,文本的核心信息“你们不孤单”旨在直接唤起和慰藉一种情感（孤独感），并通过外部支持来营造团结感，这正是[共同情感动员]的定义。编码B更准确。
30,如果只是“为了谈而谈”，而在谈判过程中被要求接受某些违背台湾民意的条件，那就已经不是民主了。,共同情感动员,差异化认同强调,差异化认同强调,那就已经不是民主了,文本通过定义什么是“不是民主”的行为，来反向划定“我们”所坚持的民主原则，以此区别于他者。符合[差异化认同强调]。编码B更准确。
31,绿能政策其实全世界都在推，为什么在台湾它反而成为一个这个，好像绿能本身就是一个弊案一样,比较与竞争意识培养,国际合法性塑造,国际合法性塑造,全世界都在推,文本通过论述“全世界都在推”绿能政策，来证明台湾推行此政策的正当性。这是将自身行为与国际公认的规范和趋势联系起来，完全符合[国际合法性塑造]的定义。编码B更准确。
32,另外一点我要讲的就是说，我们的公务体系从首次总统民选到几次政党轮替，已经在某种程度上成为国家的公务体系...,主体性建构,主体性建构,主体性建构,N/A (一致),两位编码员的编码一致且准确。
33,但这些年来的折冲与磨练，使我能建立起紧密的互动关系，也希望未来台湾需要时，这些经验能够派上用场。,公共责任感唤醒,主体性建构,公共责任感唤醒,我能建立起、这些经验能够派上用场,文本主语是“我”，论述的是个人的能力和经验，而非集体的主体性。因此不适用[主体性建构]。这更接近于一种基于个人品格的道德或立场声明。
34,大家都清楚，现状可能不是最理想的状态...但它却是维持两岸关系运作、让国际社会保持稳定的重要基石。,集体记忆塑造,公共责任感唤醒,公共责任感唤醒,维持...运作、保持...稳定、重要基石,文本承认现状不理想，但强调了维持它的重要性。这是在呼吁民众从更宏观、负责任的角度来理解政策。编码B更准确。
35,此外，在经济层面，台湾与美国之间也有进一步深化合作的空间，包括我们多年来积极争取的贸易谈判、税务政策调整等。,国际合法性塑造,国际合法性塑造,国际合法性塑造,N/A (一致),两位编码员的编码一致且准确。
36,賴清德老家案 綠質疑座標定位不能套用,公共责任感唤醒,共同敌人设定,共同敌人设定,賴清德老家案、綠質疑,在选举政治的语境下，“老家案”被作为攻击性议题提出，旨在将特定人物或政党塑造为犯错的一方，以动员反对力量。编码B更准确。
37,「生态灾难的规模恐远远超出乌克兰边界，整个黑海地区都会受到影响。」,共同危机建构,共同危机建构,共同危机建构,N/A (一致),两位编码员的编码一致且准确。
38,谈到首次海外演出选在新加坡的原因，陈奕欣说，乐团创作使用的语言是闽南话...希望在新加坡接触可能对闽南语创作歌曲有共鸣的听众。,共同情感动员,民族自豪感激发,民族自豪感激发,闽南话、共鸣的听众,文本通过在海外推广闽南语歌曲，来寻求和确认自身文化的价值和影响力，旨在唤起和增强文化归属感和荣誉感。编码B更准确。
39,台湾好不容易走上了这条道路绝对不能够再走回头路。,集体记忆塑造,共同愿景提出,共同愿景提出,走上了这条道路、不能够再走回头路,文本将“这条道路”描绘为一条正确的路径，并告诫不能“走回头路”，本身就是在构建一个关于未来的、理想的前进方向。编码B更准确。
40,我们选择了年金改革以及婚姻平权。,集体记忆塑造,主体性建构,主体性建构,我们选择了,“我们选择了”是关键，它强调了集体决策的自主权和主动性，是在论述“我们”作为一个能够自主做出重大决定的行动者的身份。编码B准确。
41,何主席是一个人超过整个政党。,集体记忆塑造,差异化认同强调,差异化认同强调,一个人超过整个政党,文本通过将某个个体与一个群体进行对比，并强调其超常之处，来建构一种独特性和差异性。编码B更准确。
42,我的核心价值是和平， 尊嚴， 公平， 正義， 清廉 勤政。,公共责任感唤醒,主体性建构,公共责任感唤醒,我的核心价值是,文本明确主语是“我”，是在陈述个人所信奉的价值观，而非集体的主体性。因此不适用[主体性建构]。正确的编码应为道德。
43,他的青年勤政是我一生坚守的信念。,公共责任感唤醒,历史叙事再造,历史叙事再造,他的青年勤政、我一生坚守,文本通过引用一个历史概念，并与当下的个人信念联系起来，旨在为当下的立场赋予历史的正当性。编码B更准确。
44,专制完全有能力筹组联合政府来完成人民政党轮替的演化。,共同危机建构,主体性建构,主体性建构,有能力、筹组联合政府,文本（假定“专制”为“我们”的误写）在论述“我们”有能力组建政府并完成政党轮替。这是在强调自身作为政治行动者的能力与资格。编码B更准确。
45,为执政者，你必须有责任把你的东西解释清楚给所有你想要争取认同的人来听。,主体性建构,公共责任感唤醒,公共责任感唤醒,执政者、必须有责任、解释清楚,文本直接向“执政者”喊话，强调其向民众“解释清楚”的责任与义务。这旨在唤起当权者的公共责任感。编码B更准确。
46,这件事情其实我觉得是令人忧虑的就像是如果说今天一间公司流动率很高，你会不会觉得这可能是公司的管理层有问题。,充满隐喻的国家符号,公共责任感唤醒,公共责任感唤醒,管理层有问题,文本使用“公司管理层”作为比喻，来引导听众思考“执政团队”是否存在治理问题。这是一种通过类比来唤起民众对公共事务进行批判性思考的策略。编码B更准确。
47,我们跟其他两个候选人不一样,比较与竞争意识培养,差异化认同强调,差异化认同强调,我们跟...候选人不一样,文本直接声明“我们”与“其他候选人”的“不一样”，这是在选举中划清界限、凸显自身独特性的经典策略。编码B更准确。
48,我们会让台湾的民主、和平、繁荣，得到国际的肯定、支持。,国际合法性塑造,国际合法性塑造,国际合法性塑造,得到国际的肯定、支持,文本的明确目标是让台湾的成就“得到国际的肯定、支持”。这是将自身的发展与外部（国际社会）的认可联系起来，以寻求和巩固其正当性。编码A准确。
49,如果 我们持续的纵容民进党，台湾就只剩下战争跟和平两个选择。,共同危机建构,共同敌人设定,共同敌人设定,纵容民进党、只剩下战争,文本将“纵容民进党”这一行为与“战争”这一灾难性后果直接挂钩，旨在将该政党塑造为一个会将大家带入危险境地的共同威胁/敌人。编码B更准确。
50,如同全垒打，安打有助球队得分...相较之下，三振通常是打者没打到球，垂头丧气走回休息室。,充满隐喻的国家符号,充满隐喻的国家符号,充满隐喻的国家符号,N/A (一致),两位编码员的编码一致且准确。
51,我们要像玉山一样，坚定不移。,团结号召,充满隐喻的国家符号,充满隐喻的国家符号,像玉山一样,文本使用“玉山”这一公认的国家象征物，来比喻“我们”应该具备的精神品质（坚定不移）。编码B更准确。
52,我相信柯文哲主席也会扮演重要的角色...因为我们...是为了团结，进步，台湾的方向 向前走。,共同愿景提出,团结号召,团结号召,为了团结、向前走,文本明确以“团结”为目标，并呼吁大家为了“台湾的方向”而“向前走”。这是一个非常直接的[团结号召]。编码B更准确。
53,让我们的下一代，有更公平的发展机会。,团结号召,共同愿景提出,共同愿景提出,下一代、更公平的发展机会,文本为“下一代”描绘了一个“更公平的发展机会”的未来图景，旨在激发听众为之奋斗的希望和动力。编码B更准确。
54,企业赚钱，也应该要尽到照顾员工的社会责任。,充满隐喻的国家符号,公共责任感唤醒,公共责任感唤醒,应该要、尽到...社会责任,文本的核心是向“企业”喊话，要求其“尽到照顾员工的社会责任”。这是在呼吁特定群体承担其对社会的责任和义务。编码B更准确。
55,亲爱的国，人，同胞。,共同情感动员,团结号召,团结号召,亲爱的国人、同胞,文本通过使用“亲爱的国人、同胞”这一称呼，来拉近与听众的距离，唤起一种集体归属感和身份认同，是[团结号召]的一种情感动员方式。编码B更准确。
56,日本做得到，我相信台湾也一定做得到。,比较与竞争意识培养,国际合法性塑造,民族自豪感激发,日本做得到、台湾也一定做得到,文本通过与一个成功的参照物（日本）进行对比，来激发“我们”一定也能成功的自信心和荣誉感。这符合[民族自豪感激发]的定义。此标签比A和B都更准确。
57,如果回顾 2000 年，我记得当时阿扁总统在第一次就职典礼上曾提到，他愿意与对方讨论“未来一中”的议题...,主体性建构,历史叙事再造,历史叙事再造,回顾 2000 年、阿扁总统,文本通过“回顾”和引用过去领导人在特定历史时期的言论，来为当下的政治议题提供历史背景和佐证。编码B更准确。
58,此三主義之內容，亦可謂之民有、民治、民享，與自由、平等、博愛無異。,共同情感动员,历史叙事再造,历史叙事再造,三主義之內容、与自由、平等、博愛無異,文本将一个历史性的政治理念（三民主义）与一组普世价值进行重新连接和诠释，旨在为该理念赋予新的时代内涵和正当性。编码B更准确。
59,连战认为，两岸问题是综合性与历史性的问题...想把两岸政治与经济问题完全分开，是不可能的事，必须务实面对。,国际合法性塑造,主体性建构,主体性建构,必须务实面对,文本在阐述处理两岸问题时“必须务实面对”这一原则立场。这是在强调集体处理复杂问题的能力和成熟姿态，属于[主体性建构]的范畴。编码B更准确。
60,我们彰显了世代的正义。,集体记忆塑造,民族自豪感激发,民族自豪感激发,我们彰显了、世代的正义,文本以“我们彰显了”开头，将“世代的正义”定位为一项已经完成的、值得骄傲的成就，旨在唤起听众的荣誉感和积极的自我认同。编码B更准确。
